dataset,KNN_ARI,LinearSVC_ARI,RandomForest_ARI,ComplementNB_ARI,MultinomialNB_ARI,keyword_file,num_classes,num_clusters,base_ARI,base_V,timestamp
crisis3,0.570114,0.628082,0.628589,0.653560,0.636174,CRISIS3_keywordSet_0.json,3,5,0.718605,0.815526,2026-05-26 12:06:00
crisis3,0.562649,0.628082,0.627213,0.651958,0.636174,CRISIS3_keywordSet_1.json,3,5,0.718605,0.815526,2026-05-26 12:06:00
crisis4,0.655767,0.726239,0.721069,0.749027,0.711963,CRISIS4_keywordSet_0.json,4,6,0.821022,0.889091,2026-05-26 12:06:01
crisis4,0.658441,0.726239,0.723856,0.749063,0.711963,CRISIS4_keywordSet_1.json,4,6,0.821022,0.889091,2026-05-26 12:06:01
NG3,0.830354,0.895070,0.871647,0.926384,0.921487,NG3_keywordSet_0.json,3,3,0.944831,0.912619,2026-05-26 12:06:03
NG3,0.830346,0.895070,0.869276,0.926384,0.921487,NG3_keywordSet_1.json,3,3,0.944831,0.912619,2026-05-26 12:06:04
NG5,0.683528,0.843551,0.795313,0.868327,0.798003,NG5_keywordSet_0.json,5,5,0.930249,0.911580,2026-05-26 12:06:06
NG5,0.724899,0.843551,0.795313,0.868327,0.798003,NG5_keywordSet_1.json,5,5,0.930249,0.911580,2026-05-26 12:06:08
NG6,0.697374,0.758763,0.676120,0.813561,0.679186,NG6_keywordSet_0.json,6,6,0.862822,0.839532,2026-05-26 12:06:11
NG6,0.699836,0.755623,0.694841,0.818172,0.712449,NG6_keywordSet_1.json,6,6,0.839407,0.807781,2026-05-26 12:06:13
R4,0.805657,0.858450,0.813238,0.893728,0.877570,R4_keywordSet_0.json,4,4,0.891912,0.862409,2026-05-26 12:06:14
R4,0.799509,0.858450,0.816012,0.893728,0.877570,R4_keywordSet_1.json,4,4,0.891912,0.862409,2026-05-26 12:06:14
R5,0.703606,0.803040,0.738010,0.774640,0.679038,R5_keywordSet_0.json,5,5,0.900250,0.889525,2026-05-26 12:06:15
R5,0.703606,0.803040,0.738010,0.774640,0.679038,R5_keywordSet_1.json,5,5,0.900250,0.889525,2026-05-26 12:06:15
R6,0.576488,0.570316,0.546111,0.605170,0.604624,R6_keywordSet_0.json,6,5,0.686832,0.707601,2026-05-26 12:06:16
R6,0.577181,0.570316,0.546326,0.605170,0.604624,R6_keywordSet_1.json,6,5,0.686832,0.707601,2026-05-26 12:06:17
